model,valid_recall@10,valid_mrr@10,valid_ndcg@10,valid_hit@10,valid_precision@10,test_recall@10,test_mrr@10,test_ndcg@10,test_hit@10,test_precision@10,t2t_time_sec,peak_mem_gb
GDN,N/A,N/A,N/A,N/A,N/A,0.0112,0.0033,0.0051,0.0112,0.0011,28.16,2.68
Mo,N/A,N/A,N/A,N/A,N/A,0.0115,0.0034,0.0052,0.0115,0.0011,32.10,2.82
Nest,N/A,N/A,N/A,N/A,N/A,0.0111,0.0033,0.0051,0.0111,0.0011,32.34,2.82
Adam,N/A,N/A,N/A,N/A,N/A,0.0109,0.0031,0.0049,0.0109,0.0011,42.26,3.29
Fro,N/A,N/A,N/A,N/A,N/A,0.0112,0.0034,0.0052,0.0112,0.0011,42.17,2.92
