model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,970.14,N/A,N/A,0.0347,0.0175,0.0124,0.0347,0.0035,0.0568,0.0231,0.0138,0.0568,0.0028,0.1042,0.0324,0.0153,0.1042,0.0021,0.0306,0.0153,0.0107,0.0306,0.0031,0.0507,0.0203,0.0121,0.0507,0.0025,0.0919,0.0284,0.0133,0.0919,0.0018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/GDN-Apr-25-2026_09-23-27.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_GDN.pt
Adam,2020,2590.81,N/A,N/A,0.0374,0.0189,0.0134,0.0374,0.0037,0.0604,0.0247,0.0150,0.0604,0.0030,0.1091,0.0343,0.0165,0.1091,0.0022,0.0324,0.0162,0.0113,0.0324,0.0032,0.0538,0.0215,0.0128,0.0538,0.0027,0.0989,0.0304,0.0142,0.0989,0.0020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/DamRec-Apr-25-2026_09-23-27.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_DamRec.pt
Fro,2020,1510.52,N/A,N/A,0.0351,0.0176,0.0123,0.0351,0.0035,0.0572,0.0231,0.0138,0.0572,0.0029,0.1030,0.0321,0.0153,0.1030,0.0021,0.0303,0.0149,0.0103,0.0303,0.0030,0.0499,0.0198,0.0116,0.0499,0.0025,0.0919,0.0281,0.0129,0.0919,0.0018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/FroRec-Apr-25-2026_10-27-16.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,618.80,N/A,N/A,0.0377,0.0187,0.0130,0.0377,0.0038,0.0611,0.0246,0.0146,0.0611,0.0031,0.1115,0.0345,0.0162,0.1115,0.0022,0.0336,0.0166,0.0114,0.0336,0.0034,0.0543,0.0218,0.0129,0.0543,0.0027,0.1007,0.0309,0.0143,0.1007,0.0020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/GRU4Rec-Apr-25-2026_11-53-09.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_GRU4Rec.pt
