model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,N/A,14.73,2.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0087,0.0042,0.0029,0.0087,0.0009,0.0206,0.0072,0.0037,0.0206,0.0010,0.0471,0.0124,0.0045,0.0471,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/GDN-Apr-25-2026_21-15-49.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_GDN.pt
Adam,2020,N/A,32.45,3.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0107,0.0046,0.0028,0.0107,0.0011,0.0206,0.0071,0.0035,0.0206,0.0010,0.0484,0.0125,0.0043,0.0484,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/DamRec-Apr-25-2026_21-15-49.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_DamRec.pt
Fro,2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/FroRec-Apr-25-2026_22-06-57.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,N/A,1.91,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0095,0.0041,0.0025,0.0095,0.0009,0.0206,0.0068,0.0032,0.0206,0.0010,0.0514,0.0129,0.0042,0.0514,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/GRU4Rec-Apr-25-2026_23-20-19.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_GRU4Rec.pt
