baseline,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20,recall@50,ndcg@50,mrr@50,n_test_points,n_t2t_users,test_ratio
POP_global,0.0042,0.0020,0.0014,0.0075,0.0029,0.0017,0.0135,0.0041,0.0018,33555,30618,0.1
POP_user,0.0049,0.0023,0.0016,0.0078,0.0031,0.0018,0.0139,0.0043,0.0020,33555,30618,0.1
