model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,N/A,63.61,9.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0098,0.0048,0.0033,0.0098,0.0010,0.0168,0.0065,0.0037,0.0168,0.0008,0.0350,0.0101,0.0043,0.0350,0.0007,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/GDN-Apr-25-2026_09-23-27.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_GDN.pt
Adam,2020,N/A,139.52,10.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0101,0.0049,0.0033,0.0101,0.0010,0.0173,0.0067,0.0038,0.0173,0.0009,0.0370,0.0105,0.0044,0.0370,0.0007,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/DamRec-Apr-25-2026_09-23-27.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_DamRec.pt
Fro,2020,N/A,87.57,9.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0080,0.0037,0.0025,0.0080,0.0008,0.0148,0.0054,0.0029,0.0148,0.0007,0.0296,0.0083,0.0034,0.0296,0.0006,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/FroRec-Apr-25-2026_10-27-16.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,N/A,12.56,7.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0107,0.0052,0.0035,0.0107,0.0011,0.0181,0.0070,0.0040,0.0181,0.0009,0.0373,0.0108,0.0046,0.0373,0.0007,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/GRU4Rec-Apr-25-2026_11-53-09.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_L64_s2020/user_states_GRU4Rec.pt
