model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,2690.53,15.43,2.71,0.2981,0.1764,0.1392,0.2981,0.0298,0.4067,0.2037,0.1466,0.4067,0.0203,0.5688,0.2357,0.1517,0.5688,0.0114,0.2660,0.1594,0.1269,0.2660,0.0266,0.3656,0.1846,0.1338,0.3656,0.0183,0.5175,0.2148,0.1386,0.5175,0.0103,0.0087,0.0042,0.0029,0.0087,0.0009,0.0206,0.0072,0.0037,0.0206,0.0010,0.0471,0.0124,0.0045,0.0471,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/GDN-Apr-25-2026_21-15-49.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_GDN.pt
Adam,2020,7665.47,30.25,3.52,0.3025,0.1797,0.1422,0.3025,0.0303,0.4084,0.2063,0.1494,0.4084,0.0204,0.5722,0.2389,0.1547,0.5722,0.0114,0.2721,0.1645,0.1317,0.2721,0.0272,0.3693,0.1890,0.1383,0.3693,0.0185,0.5222,0.2193,0.1431,0.5222,0.0104,0.0107,0.0046,0.0028,0.0107,0.0011,0.0191,0.0067,0.0034,0.0191,0.0010,0.0479,0.0123,0.0042,0.0479,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/DamRec-Apr-25-2026_21-15-49.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_DamRec.pt
Fro,2020,4000.18,18.88,2.99,0.2974,0.1768,0.1400,0.2974,0.0297,0.4084,0.2047,0.1476,0.4084,0.0204,0.5685,0.2366,0.1527,0.5685,0.0114,0.2662,0.1606,0.1284,0.2662,0.0266,0.3591,0.1840,0.1347,0.3591,0.0180,0.5173,0.2154,0.1398,0.5173,0.0103,0.0095,0.0043,0.0028,0.0095,0.0009,0.0196,0.0069,0.0035,0.0196,0.0010,0.0471,0.0122,0.0043,0.0471,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/FroRec-Apr-25-2026_22-06-57.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,861.50,1.59,3.84,0.2939,0.1711,0.1337,0.2939,0.0294,0.4016,0.1983,0.1411,0.4016,0.0201,0.5691,0.2315,0.1465,0.5691,0.0114,0.2655,0.1560,0.1227,0.2655,0.0265,0.3629,0.1806,0.1294,0.3629,0.0181,0.5220,0.2122,0.1345,0.5220,0.0104,0.0095,0.0041,0.0025,0.0095,0.0009,0.0206,0.0068,0.0032,0.0206,0.0010,0.0514,0.0129,0.0042,0.0514,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/GRU4Rec-Apr-25-2026_23-20-19.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_40_60_L64_s2020/user_states_GRU4Rec.pt
