model,valid_recall@10,valid_mrr@10,valid_ndcg@10,valid_hit@10,valid_precision@10,test_recall@10,test_mrr@10,test_ndcg@10,test_hit@10,test_precision@10,train_time_sec,peak_mem_gb
GDN,0.3083,0.1373,0.1773,0.3083,0.0308,0.2868,0.1342,0.1699,0.2868,0.0287,1516.98,2.57
Mo,0.3043,0.1370,0.1761,0.3043,0.0304,0.2882,0.1326,0.1689,0.2882,0.0288,1860.01,2.71
Nest,0.3071,0.1368,0.1766,0.3071,0.0307,0.2876,0.1311,0.1677,0.2876,0.0288,1889.45,2.71
Adam,0.3030,0.1363,0.1752,0.3030,0.0303,0.2829,0.1288,0.1649,0.2829,0.0283,1963.12,3.13
Fro,0.3098,0.1397,0.1795,0.3098,0.0310,0.2970,0.1358,0.1735,0.2970,0.0297,2440.98,2.80
