baseline,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20,recall@50,ndcg@50,mrr@50,n_test_points,n_t2t_users,test_ratio
POP_global,0.0048,0.0025,0.0018,0.0082,0.0034,0.0021,0.0135,0.0044,0.0022,60963,55734,0.1
POP_user,0.0052,0.0027,0.0019,0.0084,0.0035,0.0022,0.0138,0.0046,0.0023,60963,55734,0.1
