model,valid_recall@10,test_recall@10,train_time_sec,peak_mem_gb
GDN,0.0151,0.0151,171.49,2.64
Mo,0.0129,0.0129,181.12,5.52
Nest,0.0129,0.0129,187.19,5.52
Adam,0.0129,0.0129,271.31,6.41
Fro,0.0129,0.0129,265.44,5.74
