model,valid_recall@10,valid_mrr@10,valid_ndcg@10,valid_hit@10,valid_precision@10,test_recall@10,test_mrr@10,test_ndcg@10,test_hit@10,test_precision@10,train_time_sec,peak_mem_gb
SASRec,0.3040,0.1306,0.1712,0.3040,0.0304,0.2909,0.1263,0.1647,0.2909,0.0291,2772.95,10.55
LinRec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRU4Rec,0.3157,0.1408,0.1817,0.3157,0.0316,0.2947,0.1326,0.1705,0.2947,0.0295,1090.45,7.46
LightSANs,0.3227,0.1401,0.1827,0.3227,0.0323,0.3061,0.1353,0.1752,0.3061,0.0306,3529.62,9.70
