baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0064,0.0035,0.0026,70016,68619,0.1
POP_user,0.0059,0.0031,0.0022,70016,68619,0.1
