baseline,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20,recall@50,ndcg@50,mrr@50,n_test_points,n_t2t_users,test_ratio
POP_global,0.0069,0.0034,0.0024,0.0139,0.0052,0.0029,0.0387,0.0100,0.0036,7679,905,0.1
POP_user,0.0193,0.0094,0.0065,0.0324,0.0127,0.0073,0.0705,0.0201,0.0085,7679,905,0.1
