model,valid_recall@10,valid_mrr@10,valid_ndcg@10,valid_hit@10,valid_precision@10,test_recall@10,test_mrr@10,test_ndcg@10,test_hit@10,test_precision@10,t2t_time_sec,peak_mem_gb
GDN,N/A,N/A,N/A,N/A,N/A,0.0047,0.0014,0.0021,0.0047,0.0005,20.92,2.67
Mo,N/A,N/A,N/A,N/A,N/A,0.0046,0.0014,0.0021,0.0046,0.0005,23.61,2.80
Nest,N/A,N/A,N/A,N/A,N/A,0.0046,0.0013,0.0021,0.0046,0.0005,22.87,2.80
Adam,N/A,N/A,N/A,N/A,N/A,0.0045,0.0013,0.0020,0.0045,0.0005,33.82,3.28
Fro,N/A,N/A,N/A,N/A,N/A,0.0046,0.0013,0.0021,0.0046,0.0005,33.43,2.89
