model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,677.21,64.60,13.05,0.0175,0.0086,0.0060,0.0175,0.0018,0.0296,0.0117,0.0068,0.0296,0.0015,0.0572,0.0171,0.0077,0.0572,0.0011,0.0145,0.0071,0.0048,0.0145,0.0015,0.0243,0.0095,0.0055,0.0243,0.0012,0.0487,0.0143,0.0062,0.0487,0.0010,0.0073,0.0035,0.0023,0.0073,0.0007,0.0128,0.0049,0.0027,0.0128,0.0006,0.0269,0.0076,0.0031,0.0269,0.0005,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/GDN-Apr-25-2026_06-18-04.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/user_states_GDN.pt
Adam,2020,2188.56,136.23,13.94,0.0175,0.0086,0.0059,0.0175,0.0018,0.0290,0.0115,0.0067,0.0290,0.0015,0.0584,0.0172,0.0076,0.0584,0.0012,0.0146,0.0073,0.0051,0.0146,0.0015,0.0255,0.0100,0.0058,0.0255,0.0013,0.0490,0.0146,0.0065,0.0490,0.0010,0.0061,0.0029,0.0020,0.0061,0.0006,0.0110,0.0042,0.0023,0.0110,0.0005,0.0238,0.0067,0.0027,0.0238,0.0005,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/DamRec-Apr-25-2026_06-18-03.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/user_states_DamRec.pt
Fro,2020,915.77,97.57,13.75,0.0173,0.0086,0.0060,0.0173,0.0017,0.0297,0.0117,0.0069,0.0297,0.0015,0.0579,0.0173,0.0077,0.0579,0.0012,0.0144,0.0071,0.0049,0.0144,0.0014,0.0248,0.0097,0.0056,0.0248,0.0012,0.0493,0.0145,0.0064,0.0493,0.0010,0.0060,0.0028,0.0018,0.0060,0.0006,0.0110,0.0041,0.0022,0.0110,0.0006,0.0240,0.0066,0.0026,0.0240,0.0005,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/FroRec-Apr-25-2026_07-18-55.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,410.67,14.39,11.73,0.0188,0.0094,0.0065,0.0188,0.0019,0.0323,0.0128,0.0074,0.0323,0.0016,0.0637,0.0189,0.0084,0.0637,0.0013,0.0148,0.0073,0.0050,0.0148,0.0015,0.0259,0.0101,0.0058,0.0259,0.0013,0.0526,0.0153,0.0066,0.0526,0.0011,0.0070,0.0036,0.0025,0.0070,0.0007,0.0133,0.0051,0.0029,0.0133,0.0007,0.0291,0.0082,0.0034,0.0291,0.0006,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/GRU4Rec-Apr-25-2026_08-39-34.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_warm_L64_s2020/user_states_GRU4Rec.pt
