model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,1903.64,7.85,2.66,0.3398,0.2089,0.1689,0.3398,0.0340,0.4455,0.2356,0.1762,0.4455,0.0223,0.6039,0.2670,0.1812,0.6039,0.0121,0.3017,0.1895,0.1549,0.3017,0.0302,0.3963,0.2132,0.1613,0.3963,0.0198,0.5457,0.2429,0.1661,0.5457,0.0109,0.0136,0.0066,0.0046,0.0136,0.0014,0.0269,0.0100,0.0055,0.0269,0.0013,0.0534,0.0152,0.0063,0.0534,0.0011,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/GDN-Apr-27-2026_12-02-08.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_GDN.pt
Adam,2020,4159.41,11.77,3.46,0.3321,0.2057,0.1668,0.3321,0.0332,0.4430,0.2338,0.1745,0.4430,0.0222,0.6074,0.2663,0.1797,0.6074,0.0121,0.3100,0.1950,0.1598,0.3100,0.0310,0.4089,0.2199,0.1666,0.4089,0.0204,0.5530,0.2484,0.1711,0.5530,0.0111,0.0087,0.0037,0.0021,0.0087,0.0009,0.0194,0.0063,0.0028,0.0194,0.0010,0.0501,0.0123,0.0037,0.0501,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/DamRec-Apr-27-2026_12-02-08.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_DamRec.pt
Fro,2020,2736.41,6.99,2.92,0.3360,0.2073,0.1677,0.3360,0.0336,0.4464,0.2351,0.1753,0.4464,0.0223,0.6102,0.2676,0.1805,0.6102,0.0122,0.3077,0.1928,0.1576,0.3077,0.0308,0.4012,0.2162,0.1639,0.4012,0.0201,0.5492,0.2456,0.1686,0.5492,0.0110,0.0100,0.0051,0.0036,0.0100,0.0010,0.0191,0.0073,0.0042,0.0191,0.0010,0.0498,0.0133,0.0051,0.0498,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/FroRec-Apr-27-2026_12-38-04.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,858.26,0.71,3.80,0.3393,0.2083,0.1683,0.3393,0.0339,0.4498,0.2362,0.1759,0.4498,0.0225,0.6093,0.2680,0.1810,0.6093,0.0122,0.3002,0.1867,0.1520,0.3002,0.0300,0.3964,0.2109,0.1586,0.3964,0.0198,0.5456,0.2404,0.1633,0.5456,0.0109,0.0087,0.0041,0.0027,0.0087,0.0009,0.0181,0.0065,0.0034,0.0181,0.0009,0.0440,0.0117,0.0042,0.0440,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/GRU4Rec-Apr-27-2026_13-17-05.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_GRU4Rec.pt
