model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,33.05,5.18,3.23,0.0069,0.0041,0.0032,0.0069,0.0007,0.0093,0.0047,0.0034,0.0093,0.0005,0.0150,0.0058,0.0035,0.0150,0.0003,0.0083,0.0040,0.0027,0.0083,0.0008,0.0149,0.0058,0.0032,0.0149,0.0007,0.0248,0.0077,0.0035,0.0248,0.0005,0.0023,0.0011,0.0008,0.0023,0.0002,0.0032,0.0014,0.0008,0.0032,0.0002,0.0055,0.0018,0.0009,0.0055,0.0001,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/GDN-Apr-24-2026_10-35-43.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/user_states_GDN.pt
Adam,2020,36.40,6.46,3.98,0.0069,0.0042,0.0034,0.0069,0.0007,0.0104,0.0051,0.0036,0.0104,0.0005,0.0162,0.0062,0.0038,0.0162,0.0003,0.0066,0.0042,0.0034,0.0066,0.0007,0.0157,0.0065,0.0040,0.0157,0.0008,0.0265,0.0085,0.0043,0.0265,0.0005,0.0021,0.0012,0.0009,0.0021,0.0002,0.0037,0.0016,0.0010,0.0037,0.0002,0.0058,0.0020,0.0011,0.0058,0.0001,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/DamRec-Apr-24-2026_10-35-43.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/user_states_DamRec.pt
Fro,2020,39.07,3.87,3.47,0.0081,0.0042,0.0031,0.0081,0.0008,0.0093,0.0045,0.0032,0.0093,0.0005,0.0139,0.0055,0.0033,0.0139,0.0003,0.0108,0.0047,0.0029,0.0108,0.0011,0.0149,0.0058,0.0032,0.0149,0.0007,0.0257,0.0079,0.0036,0.0257,0.0005,0.0021,0.0011,0.0007,0.0021,0.0002,0.0032,0.0013,0.0008,0.0032,0.0002,0.0055,0.0018,0.0009,0.0055,0.0001,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/FroRec-Apr-24-2026_10-36-33.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,17.09,0.43,4.17,0.0046,0.0028,0.0022,0.0046,0.0005,0.0058,0.0030,0.0022,0.0058,0.0003,0.0104,0.0040,0.0024,0.0104,0.0002,0.0075,0.0041,0.0031,0.0075,0.0007,0.0075,0.0041,0.0031,0.0075,0.0004,0.0240,0.0073,0.0036,0.0240,0.0005,0.0013,0.0005,0.0003,0.0013,0.0001,0.0016,0.0006,0.0003,0.0016,0.0001,0.0041,0.0011,0.0004,0.0041,0.0001,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/GRU4Rec-Apr-24-2026_10-36-43.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u5000_L64_s2020/user_states_GRU4Rec.pt
