model,valid_recall@10,valid_mrr@10,valid_ndcg@10,valid_hit@10,valid_precision@10,test_recall@10,test_mrr@10,test_ndcg@10,test_hit@10,test_precision@10,t2t_time_sec,peak_mem_gb
GDN,N/A,N/A,N/A,N/A,N/A,0.0102,0.0032,0.0048,0.0102,0.0010,19.18,2.68
Mo,N/A,N/A,N/A,N/A,N/A,0.0100,0.0032,0.0048,0.0100,0.0010,23.50,2.81
Nest,N/A,N/A,N/A,N/A,N/A,0.0102,0.0032,0.0048,0.0102,0.0010,23.53,2.81
Adam,N/A,N/A,N/A,N/A,N/A,0.0099,0.0032,0.0048,0.0099,0.0010,32.62,3.28
Fro,N/A,N/A,N/A,N/A,N/A,0.0102,0.0032,0.0048,0.0102,0.0010,32.44,2.91
