model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,445.07,73.16,12.70,0.0216,0.0105,0.0072,0.0216,0.0022,0.0358,0.0141,0.0082,0.0358,0.0018,0.0668,0.0202,0.0091,0.0668,0.0013,0.0211,0.0106,0.0074,0.0211,0.0021,0.0345,0.0140,0.0083,0.0345,0.0017,0.0631,0.0196,0.0092,0.0631,0.0013,0.0739,0.0468,0.0384,0.0739,0.0074,0.0900,0.0509,0.0395,0.0900,0.0045,0.1103,0.0550,0.0401,0.1103,0.0022,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/GDN-Apr-24-2026_10-44-09.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/user_states_GDN.pt
Adam,2020,688.27,161.89,13.73,0.0217,0.0109,0.0077,0.0217,0.0022,0.0356,0.0144,0.0086,0.0356,0.0018,0.0676,0.0207,0.0096,0.0676,0.0014,0.0223,0.0111,0.0077,0.0223,0.0022,0.0353,0.0143,0.0086,0.0353,0.0018,0.0641,0.0200,0.0095,0.0641,0.0013,0.0315,0.0158,0.0111,0.0315,0.0031,0.0473,0.0198,0.0122,0.0473,0.0024,0.0700,0.0243,0.0129,0.0700,0.0014,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/DamRec-Apr-24-2026_10-44-09.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/user_states_DamRec.pt
Fro,2020,580.09,113.51,13.87,0.0212,0.0105,0.0074,0.0212,0.0021,0.0357,0.0142,0.0083,0.0357,0.0018,0.0672,0.0204,0.0093,0.0672,0.0013,0.0210,0.0106,0.0075,0.0210,0.0021,0.0349,0.0141,0.0084,0.0349,0.0017,0.0633,0.0197,0.0093,0.0633,0.0013,0.0836,0.0574,0.0492,0.0836,0.0084,0.0979,0.0611,0.0502,0.0979,0.0049,0.1174,0.0649,0.0508,0.1174,0.0023,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/FroRec-Apr-24-2026_12-36-22.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,282.08,16.86,11.00,0.0241,0.0121,0.0085,0.0241,0.0024,0.0394,0.0159,0.0095,0.0394,0.0020,0.0741,0.0227,0.0106,0.0741,0.0015,0.0227,0.0116,0.0082,0.0227,0.0023,0.0380,0.0154,0.0092,0.0380,0.0019,0.0698,0.0217,0.0102,0.0698,0.0014,0.0011,0.0005,0.0004,0.0011,0.0001,0.0020,0.0008,0.0004,0.0020,0.0001,0.0046,0.0013,0.0005,0.0046,0.0001,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/GRU4Rec-Apr-24-2026_14-51-12.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u200000_L64_s2020/user_states_GRU4Rec.pt
