model,valid_recall@10,test_recall@10,train_time_sec,peak_mem_gb
GDN,0.0172,0.0172,15.84,1.04
Mo,0.0164,0.0164,15.56,2.18
Nest,0.0164,0.0164,15.33,2.18
Adam,0.0164,0.0164,22.91,2.71
Fro,0.0164,0.0164,22.91,2.28
