model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,3981.22,13.53,2.84,0.2417,0.1379,0.1063,0.2417,0.0242,0.3388,0.1623,0.1129,0.3388,0.0169,0.4978,0.1938,0.1180,0.4978,0.0100,0.2172,0.1252,0.0972,0.2172,0.0217,0.3066,0.1477,0.1034,0.3066,0.0153,0.4522,0.1766,0.1080,0.4522,0.0090,0.0098,0.0048,0.0034,0.0098,0.0010,0.0210,0.0076,0.0041,0.0210,0.0010,0.0505,0.0134,0.0050,0.0505,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/GDN-Apr-25-2026_17-11-03.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/user_states_GDN.pt
Adam,2020,8491.01,27.49,3.65,0.2445,0.1375,0.1051,0.2445,0.0244,0.3430,0.1623,0.1118,0.3430,0.0172,0.5050,0.1945,0.1170,0.5050,0.0101,0.2169,0.1246,0.0965,0.2169,0.0217,0.3083,0.1477,0.1028,0.3083,0.0154,0.4588,0.1775,0.1076,0.4588,0.0092,0.0091,0.0043,0.0028,0.0091,0.0009,0.0182,0.0065,0.0034,0.0182,0.0009,0.0434,0.0115,0.0042,0.0434,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/DamRec-Apr-25-2026_17-11-04.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/user_states_DamRec.pt
Fro,2020,8886.02,17.74,3.14,0.2449,0.1399,0.1080,0.2449,0.0245,0.3462,0.1653,0.1149,0.3462,0.0173,0.5022,0.1962,0.1198,0.5022,0.0100,0.2239,0.1289,0.1000,0.2239,0.0224,0.3123,0.1511,0.1061,0.3123,0.0156,0.4559,0.1796,0.1107,0.4559,0.0091,0.0107,0.0050,0.0033,0.0107,0.0011,0.0197,0.0072,0.0039,0.0197,0.0010,0.0443,0.0121,0.0046,0.0443,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/FroRec-Apr-25-2026_18-27-14.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,1680.61,N/A,N/A,0.2442,0.1376,0.1053,0.2442,0.0244,0.3467,0.1635,0.1123,0.3467,0.0173,0.5057,0.1950,0.1174,0.5057,0.0101,0.2169,0.1237,0.0955,0.2169,0.0217,0.3112,0.1475,0.1020,0.3112,0.0156,0.4620,0.1774,0.1068,0.4620,0.0092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/GRU4Rec-Apr-25-2026_19-45-17.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_L64_s2020/user_states_GRU4Rec.pt
