baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0062,0.0033,0.0025,70373,68914,0.1
POP_user,0.0056,0.0029,0.0020,70373,68914,0.1
