baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0062,0.0034,0.0025,465641,456375,0.1
POP_user,0.0057,0.0029,0.0021,465641,456375,0.1
