model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,543.49,40.83,7.27,0.0355,0.0180,0.0127,0.0355,0.0036,0.0578,0.0236,0.0143,0.0578,0.0029,0.1055,0.0330,0.0157,0.1055,0.0021,0.0334,0.0168,0.0118,0.0334,0.0033,0.0545,0.0221,0.0133,0.0545,0.0027,0.0968,0.0305,0.0146,0.0968,0.0019,0.0149,0.0074,0.0051,0.0149,0.0015,0.0259,0.0101,0.0058,0.0259,0.0013,0.0530,0.0154,0.0067,0.0530,0.0011,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/GDN-Apr-25-2026_14-51-12.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/user_states_GDN.pt
Adam,2020,998.91,118.38,7.62,0.0389,0.0196,0.0138,0.0389,0.0039,0.0624,0.0255,0.0154,0.0624,0.0031,0.1142,0.0357,0.0170,0.1142,0.0023,0.0349,0.0170,0.0116,0.0349,0.0035,0.0564,0.0224,0.0131,0.0564,0.0028,0.1027,0.0316,0.0146,0.1027,0.0021,0.0131,0.0061,0.0040,0.0131,0.0013,0.0233,0.0087,0.0047,0.0233,0.0012,0.0464,0.0132,0.0054,0.0464,0.0009,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/DamRec-Apr-25-2026_14-51-13.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/user_states_DamRec.pt
Fro,2020,1008.58,39.69,7.71,0.0358,0.0180,0.0127,0.0358,0.0036,0.0591,0.0239,0.0143,0.0591,0.0030,0.1063,0.0332,0.0157,0.1063,0.0021,0.0332,0.0164,0.0114,0.0332,0.0033,0.0536,0.0215,0.0128,0.0536,0.0027,0.0966,0.0300,0.0141,0.0966,0.0019,0.0127,0.0062,0.0042,0.0127,0.0013,0.0226,0.0086,0.0049,0.0226,0.0011,0.0458,0.0132,0.0056,0.0458,0.0009,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/FroRec-Apr-25-2026_15-47-09.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/user_states_FroRec.pt
GRU4Rec,2020,807.99,8.85,6.67,0.0377,0.0191,0.0135,0.0377,0.0038,0.0621,0.0252,0.0151,0.0621,0.0031,0.1156,0.0357,0.0168,0.1156,0.0023,0.0364,0.0183,0.0129,0.0364,0.0036,0.0581,0.0237,0.0143,0.0581,0.0029,0.1068,0.0333,0.0158,0.1068,0.0021,0.0153,0.0071,0.0047,0.0153,0.0015,0.0272,0.0101,0.0055,0.0272,0.0014,0.0570,0.0160,0.0064,0.0570,0.0011,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/GRU4Rec-Apr-25-2026_16-10-04.pth,/root/DamRec/saved/per_model_pretrain_yelp2018_u100k_5core_clean_L20_s2020/user_states_GRU4Rec.pt
