baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0048,0.0025,0.0018,60963,55734,0.1
POP_user,0.0052,0.0027,0.0019,60963,55734,0.1
