baseline,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20,recall@50,ndcg@50,mrr@50,n_test_points,n_t2t_users,test_ratio
POP_global,0.0078,0.0036,0.0023,0.0128,0.0049,0.0026,0.0254,0.0073,0.0030,20056,9146,0.1
POP_user,0.0084,0.0042,0.0028,0.0138,0.0055,0.0032,0.0272,0.0081,0.0036,20056,9146,0.1
