baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0040,0.0023,0.0018,86030,83623,0.1
POP_user,0.0025,0.0010,0.0005,86030,83623,0.1
