baseline,recall@10,ndcg@10,mrr@10,n_test_points,n_t2t_users,test_ratio
POP_global,0.0105,0.0050,0.0033,19449,1783,0.1
POP_user,0.0067,0.0032,0.0022,19449,1783,0.1
