baseline,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20,recall@50,ndcg@50,mrr@50,n_test_points,n_t2t_users,test_ratio
POP_global,0.0082,0.0038,0.0025,0.0163,0.0058,0.0031,0.0445,0.0113,0.0039,7915,694,0.1
POP_user,0.0164,0.0079,0.0054,0.0320,0.0118,0.0064,0.0709,0.0194,0.0076,7915,694,0.1
