model,seed,pretrain_sec,t2t_sec,peak_mem_gb,pretrain_valid_recall@10,pretrain_valid_ndcg@10,pretrain_valid_mrr@10,pretrain_valid_hit@10,pretrain_valid_precision@10,pretrain_valid_recall@20,pretrain_valid_ndcg@20,pretrain_valid_mrr@20,pretrain_valid_hit@20,pretrain_valid_precision@20,pretrain_valid_recall@50,pretrain_valid_ndcg@50,pretrain_valid_mrr@50,pretrain_valid_hit@50,pretrain_valid_precision@50,pretrain_test_recall@10,pretrain_test_ndcg@10,pretrain_test_mrr@10,pretrain_test_hit@10,pretrain_test_precision@10,pretrain_test_recall@20,pretrain_test_ndcg@20,pretrain_test_mrr@20,pretrain_test_hit@20,pretrain_test_precision@20,pretrain_test_recall@50,pretrain_test_ndcg@50,pretrain_test_mrr@50,pretrain_test_hit@50,pretrain_test_precision@50,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,2020,N/A,6.79,2.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0136,0.0066,0.0046,0.0136,0.0014,0.0269,0.0100,0.0055,0.0269,0.0013,0.0534,0.0152,0.0063,0.0534,0.0011,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/GDN-Apr-27-2026_12-02-08.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_GDN.pt
Adam,2020,N/A,13.89,3.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0087,0.0036,0.0021,0.0087,0.0009,0.0184,0.0061,0.0027,0.0184,0.0009,0.0489,0.0121,0.0037,0.0489,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/DamRec-Apr-27-2026_12-02-08.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_DamRec.pt
Fro,2020,N/A,8.68,2.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0100,0.0051,0.0036,0.0100,0.0010,0.0191,0.0073,0.0042,0.0191,0.0010,0.0498,0.0133,0.0051,0.0498,0.0010,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/FroRec-Apr-27-2026_12-38-04.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_FroRec.pt
GRU4Rec,2020,N/A,1.23,3.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0087,0.0041,0.0027,0.0087,0.0009,0.0181,0.0065,0.0034,0.0181,0.0009,0.0440,0.0117,0.0042,0.0440,0.0009,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/GRU4Rec-Apr-27-2026_13-17-05.pth,/root/DamRec/saved/per_model_pretrain_ml-10m_dense_u20k_20_80_L64_s2020/user_states_GRU4Rec.pt
